,Food Index,Food,Zinc,Thiamin
234,11710952,"Good Start 2 Essentials, with iron, infant formula, prepared from liquid concentrate (formerly Carnation Follow-Up, with iron...)",0.0005200000000000001,5.1e-05
235,11710953,"Good Start 2 Essentials, with iron, infant formula, prepared from powder (formerly Carnation Follow-Up, with iron...)",0.0005600000000000001,5.2e-05
236,11710960,"America's Store Brand, with iron, infant formula, NS as to form",0.00053,7.000000000000001e-05
237,11710961,"America's Store Brand, with iron, infant formula, prepared from liquid concentrate",0.00055,6.6e-05
238,11710962,"America's Store Brand, with iron, infant formula, prepared from powder",0.00049,6.6e-05
239,11710963,"America's Store Brand, with iron, infant formula, ready-to-feed",0.00053,7.000000000000001e-05
240,11720300,"Enfamil ProSobee, with iron, infant formula, NS as to form",0.00079,5.2e-05
241,11720301,"Enfamil ProSobee, with iron, infant formula, ready-to-feed",0.00079,5.2e-05
242,11720302,"Enfamil ProSobee, with iron, infant formula, prepared from liquid concentrate",0.00079,5.2e-05
243,11720303,"Enfamil ProSobee, with iron, infant formula, prepared from powder",0.00078,5.2e-05
244,11720310,"Enfamil ProSobee Lipil, with iron, infant formula, NS as to form",0.00079,5.2e-05
245,11720311,"Enfamil ProSobee Lipil, with iron, infant formula, ready-to-feed",0.00079,5.2e-05
246,11720312,"Enfamil ProSobee Lipil, with iron, infant formula, prepared from liquid concentrate",0.00079,5.2e-05
247,11720313,"Enfamil ProSobee Lipil, with iron, infant formula, prepared from powder",0.00078,5.2e-05
248,11720400,"Similac Isomil, with iron, infant formula, NS as to form",0.00049,3.9e-05
249,11720401,"Similac Isomil, with iron, infant formula, ready-to-feed",0.00049,3.9e-05
250,11720402,"Similac Isomil, with iron, infant formula, prepared from liquid concentrate",0.0005,3.9e-05
251,11720403,"Similac Isomil, with iron, infant formula, prepared from powder",0.0005,4e-05
252,11720410,"Similac Isomil Advance with iron, infant formula, NS as to form",0.00049,3.9e-05
253,11720411,"Similac Isomil Advance with iron, infant formula, ready-to-feed",0.00049,3.9e-05
254,11720412,"Similac Isomil Advance with iron, infant formula, prepared from liquid concentrate",0.0005,4e-05
255,11720413,"Similac Isomil Advance with iron, infant formula, prepared from powder",0.00049,3.9e-05
256,11720600,"Good Start Essentials Soy, with iron, infant formula, NS as to form (formerly Carnation Alsoy; I-Soyalac)",0.0006,3.9e-05
257,11720601,"Good Start Essentials Soy, with iron, infant formula, ready-to-feed (formerly Carnation Alsoy; I-Soyalac)",0.0006,3.9e-05
258,11720602,"Good Start Essentials Soy, with iron, infant formula, prepared from liquid concentrate (formerly Carnation Alsoy; I-Soyalac)",0.0005899999999999999,3.9e-05
259,11720603,"Good Start Essentials Soy, with iron, infant formula, prepared from powder (formerly Carnation Alsoy; I-Soyalac)",0.00057,3.8e-05
260,11720610,"Good Start Soy, with iron, DHA & ARA, infant formula, NS as to form",0.00058,3.9e-05
261,11720611,"Good Start Soy, with iron, DHA & ARA, infant formula, ready-to-feed",0.00058,3.9e-05
262,11720612,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from liquid concentrate",0.0006,3.9e-05
263,11720613,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from powder",0.0005600000000000001,3.7e-05
264,11720703,"Next Step Prosobee, with iron, infant formula, prepared from powder (formerly Next Step Soy Toddler Formula)",0.00074,4.9000000000000005e-05
265,11720800,"America's Store Brand Soy, with iron, infant formula, NS as to form",0.00053,7.000000000000001e-05
266,11720801,"America's Store Brand Soy, with iron, infant formula, ready-to-feed",0.00053,7.000000000000001e-05
267,11720802,"America's Store Brand Soy, with iron, infant formula, prepared from liquid concentrate",0.00055,7.199999999999999e-05
268,11720803,"America's Store Brand Soy, with iron, infant formula, prepared from powder",0.0005,6.4e-05
269,11740300,"Nutramigen, with iron, infant formula, NS as to form",0.00066,5.2e-05
270,11740301,"Nutramigen, with iron, infant formula, ready-to-feed",0.00066,5.2e-05
271,11740302,"Nutramigen, with iron, infant formula, prepared from liquid concentrate",0.00065,5.1e-05
272,11740303,"Nutramigen, with iron, infant formula, prepared from powder",0.0007099999999999999,5.6e-05
273,11740310,"Enfamil Nutramigen Lipil, with iron, infant formula, NS as to form",0.00066,5.2e-05
274,11740311,"Enfamil Nutramigen Lipil, with iron, infant formula, ready-to-feed",0.00066,5.2e-05
275,11740312,"Enfamil Nutramigen Lipil, with iron, infant formula, prepared from liquid concentrate",0.00065,5.2e-05
276,11740313,"Enfamil Nutramigen Lipil, with iron, infant formula, prepared from powder",0.00067,5.3e-05
277,11740400,"Pregestimil, with iron, infant formula, NS as to form",0.00065,5.2e-05
278,11740403,"Pregestimil, with iron, infant formula, prepared from powder",0.00066,5.2e-05
279,11740503,"Similac PM 60/40, low iron, infant formula, prepared from powder",0.0005,6.500000000000001e-05
280,11740600,"Portagen, with iron, infant formula, NS as to form",0.00088,0.000148
281,11740603,"Portagen, with iron, infant formula, prepared from powder",0.00061,0.000101
282,11810000,"Milk, dry, not reconstituted, NS as to whole, lowfat, or nonfat",0.00441,0.00041299999999999996
283,11811000,"Milk, dry, whole, not reconstituted",0.0033399999999999997,0.000283
284,11812000,"Milk, dry, lowfat, not reconstituted",0.00437,0.00040899999999999997
285,11813000,"Milk, dry, nonfat, not reconstituted",0.00441,0.00041299999999999996
286,11820000,"Buttermilk, dry, not reconstituted",0.004019999999999999,0.00039200000000000004
287,11825000,"Whey, sweet, dry",0.00197,0.000519
288,11830100,"Cocoa (or chocolate) with dry milk and sugar, dry mix, not reconstituted",0.00146,9.6e-05
