,Food Index,Nutrient Index,Amount,Food
352,11710350,309,0.49,"Similac Advance, with iron, infant formula, NS as to form"
353,11710350,404,0.066,"Similac Advance, with iron, infant formula, NS as to form"
354,11710351,309,0.49,"Similac Advance, with iron, infant formula, ready-to-feed"
355,11710351,404,0.066,"Similac Advance, with iron, infant formula, ready-to-feed"
356,11710352,309,0.5,"Similac Advance, with iron, infant formula, prepared from liquid concentrate"
357,11710352,404,0.065,"Similac Advance, with iron, infant formula, prepared from liquid concentrate"
358,11710353,309,0.5,"Similac Advance, with iron, infant formula, prepared from powder"
359,11710353,404,0.066,"Similac Advance, with iron, infant formula, prepared from powder"
360,11710370,309,0.52,"Similac Sensitive, with iron, ARA and DHA, infant formula, NS as to form (formerly Lactose Free Advance ...)"
361,11710370,404,0.069,"Similac Sensitive, with iron, ARA and DHA, infant formula, NS as to form (formerly Lactose Free Advance ...)"
362,11710371,309,0.52,"Similac Sensitive, with iron, ARA and DHA, infant formula, ready-to-feed  (formerly Lactose Free Advance ...)"
363,11710371,404,0.069,"Similac Sensitive, with iron, ARA and DHA, infant formula, ready-to-feed  (formerly Lactose Free Advance ...)"
364,11710372,309,0.5,"Similac Sensitive, with iron, ARA and DHA, infant formula, prepared from liquid concentrate   (formerly Lactose Free Advance...)"
